HS 2012 Product Code,HS 2012 Product Description,HS 1996 Product Code,HS 1996 Product Description
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",020410,"Carcasses and half-carcasses of lamb, fresh or chilled"
020421,Carcasses and half-carcasses,020421,"Other meat of sheep, fresh or chilled :-- Carcasses and half-carcasses"
020422,Other cuts with bone in,020422,"Other meat of sheep, fresh or chilled :-- Other cuts with bone in"
020423,Boneless,020423,"Other meat of sheep, fresh or chilled :-- Boneless"
020430,"Carcasses and half-carcasses of lamb, frozen",020430,"Other meat of sheep, fresh or chilled :- Carcasses and half-carcasses of lamb, frozen"
020441,Carcasses and half-carcasses,020441,"Other meat of sheep, frozen :-- Carcasses and half-carcasses"
020442,Other cuts with bone in,020442,"Other meat of sheep, frozen :-- Other cuts with bone in"
020443,Boneless,020443,"Other meat of sheep, frozen :-- Boneless"
020450,Meat of goats,020450,Meat of goats
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
020610,"Of bovine animals, fresh or chilled",020610,"Of bovine animals, fresh or chilled"
020621,Tongues,020621,"Of bovine animals, frozen :-- Tongues"
020622,Livers,020622,"Of bovine animals, frozen :-- Livers"
020629,Other,020629,"Of bovine animals, frozen :-- Other"
020630,"Of swine, fresh or chilled",020630,"Of swine, fresh or chilled"
020641,Livers,020641,"Of swine, frozen :-- Livers"
020649,Other,020649,"Of swine, frozen :-- Other"
020680,"Other, fresh or chilled",020680,"Other, fresh or chilled"
020690,"Other, frozen",020690,"Other, frozen"
020711,"Not cut in pieces, fresh or chilled",020711,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, fresh or chilled"
020712,"Not cut in pieces, frozen",020712,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, frozen"
020713,"Cuts and offal, fresh or chilled",020713,"Of fowls of the species Gallus domesticus :-- Cuts and offal, fresh or chilled"
020714,"Cuts and offal, frozen",020714,"Of fowls of the species Gallus domesticus :-- Cuts and offal, frozen"
020724,"Not cut in pieces, fresh or chilled",020724,"Of turkeys :-- Not cut in pieces, fresh or chilled"
020725,"Not cut in pieces, frozen",020725,"Of turkeys :-- Not cut in pieces, frozen"
020726,"Cuts and offal, fresh or chilled",020726,"Of turkeys :-- Cuts and offal, fresh or chilled"
020727,"Cuts and offal, frozen",020727,"Of turkeys :-- Cuts and offal, frozen"
020741,"Not cut in pieces, fresh or chilled",020732,"Of ducks, geese or guinea fowls :-- Not cut in pieces, fresh or chilled"
020742,"Not cut in pieces, frozen",020733,"Of ducks, geese or guinea fowls :-- Not cut in pieces, frozen"
020743,"Fatty livers, fresh or chilled",020734,"Of ducks, geese or guinea fowls :-- Fatty livers, fresh or chilled"
020744,"Other, fresh or chilled",020735,"Of ducks, geese or guinea fowls :-- Other, fresh or chilled"
020745,"Other, frozen",020736,"Of ducks, geese or guinea fowls :-- Other, frozen"
020751,"Not cut in pieces, fresh or chilled",020732,"Of ducks, geese or guinea fowls :-- Not cut in pieces, fresh or chilled"
020752,"Not cut in pieces, frozen",020733,"Of ducks, geese or guinea fowls :-- Not cut in pieces, frozen"
020753,"Fatty livers, fresh or chilled",020734,"Of ducks, geese or guinea fowls :-- Fatty livers, fresh or chilled"
020754,"Other, fresh or chilled",020735,"Of ducks, geese or guinea fowls :-- Other, fresh or chilled"
020755,"Other, frozen",020736,"Of ducks, geese or guinea fowls :-- Other, frozen"
020760,Of guinea fowls,020736,"Of ducks, geese or guinea fowls :-- Other, frozen"
020810,Of rabbits or hares,020810,Of rabbits or hares
020830,Of primates,020890,Other
020840,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",020890,Other
020850,Of reptiles (including snakes and turtles),020890,Other
020860,Of camels and other camelids (Camelidae),020890,Other
020890,Other,020890,Other
020910,Of pigs,020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked."
020990,Other,020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked."
021011,"Hams, shoulders and cuts thereof, with bone in",021011,"Meat of swine :-- Hams, shoulders and cuts thereof, with bone in"
021012,Bellies (streaky) and cuts thereof,021012,Meat of swine :-- Bellies (streaky) and cuts thereof
021019,Other,021019,Meat of swine :-- Other
021020,Meat of bovine animals,021020,Meat of bovine animals
021091,Of primates,021090,"Other, including edible flours and meals of meat or meat offal"
021092,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",021090,"Other, including edible flours and meals of meat or meat offal"
021093,Of reptiles (including snakes and turtles),021090,"Other, including edible flours and meals of meat or meat offal"
021099,Other,021090,"Other, including edible flours and meals of meat or meat offal"
030111,Freshwater,030110,Ornamental fish
030119,Other,030110,Ornamental fish
030191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030191,"Other live fish :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030192,Eels (Anguilla spp.),030192,Other live fish :-- Eels (Anguilla spp.)
030193,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",030193,Other live fish :-- Carp
030194,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",030199,Other live fish :-- Other
030195,Southern bluefin tunas (Thunnus maccoyii),030199,Other live fish :-- Other
030199,Other,030199,Other live fish :-- Other
030211,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030211,"Salmonidae, excluding livers and roes :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",030212,"Salmonidae, excluding livers and roes :-- Pacific salmon (Oncorhynchus nerka, Oncorhynchusgorbascha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhnchus rhodurus), Altantic salmon (Sa"
030214,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),030212,"Salmonidae, excluding livers and roes :-- Pacific salmon (Oncorhynchus nerka, Oncorhynchusgorbascha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhnchus rhodurus), Altantic salmon (Sa"
030219,Other,030219,"Salmonidae, excluding livers and roes :-- Other"
030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",030221,"Salmonidae, excluding livers and roes :-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
030222,Plaice (Pleuronectes platessa),030222,"Salmonidae, excluding livers and roes :-- Plaice (Pleuronectes platessa)"
030223,Sole (Solea spp.),030223,"Salmonidae, excluding livers and roes :-- Sole (Solea spp.)"
030224,Turbots (Psetta maxima),030229,"Salmonidae, excluding livers and roes :-- Other"
030229,Other,030229,"Salmonidae, excluding livers and roes :-- Other"
030231,Albacore or longfinned tunas (Thunnus alalunga),030231,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Albacore or longfinned tunas (Thunnus alalunga)"
030232,Yellowfin tunas (Thunnus albacares),030232,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Yellowfin tunas (Thunnus albacares)"
030233,Skipjack or stripe-bellied bonito,030233,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Skipjack or stripe-bellied bonito"
030234,Bigeye tunas (Thunnus obesus),030239,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other"
030235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",030239,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other"
030236,Southern bluefin tunas (Thunnus maccoyii),030239,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other"
030239,Other,030239,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other"
030241,"Herrings (Clupea harengus, Clupea pallasii)",030240,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :- Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes"
030242,Anchovies (Engraulis spp.),030269,"Other fish, excluding livers and roes :-- Other"
030243,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",030261,"Other fish, excluding livers and roes :-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
030244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",030264,"Other fish, excluding livers and roes :-- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
030245,Jack and horse mackerel (Trachurus spp.),030269,"Other fish, excluding livers and roes :-- Other"
030246,Cobia (Rachycentron canadum),030269,"Other fish, excluding livers and roes :-- Other"
030247,Swordfish (Xiphias gladius),030269,"Other fish, excluding livers and roes :-- Other"
030251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030250,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes"
030252,Haddock (Melanogrammus aeglefinus),030262,"Other fish, excluding livers and roes :-- Haddock (Melanogrammus aeglefinus)"
030253,Coalfish (Pollachius virens),030263,"Other fish, excluding livers and roes :-- Coalfish (Pollachius virens)"
030254,"Hake (Merluccius spp., Urophycis spp.)",030269,"Other fish, excluding livers and roes :-- Other"
030255,Alaska Pollack (Theragra chalcogramma),030269,"Other fish, excluding livers and roes :-- Other"
030256,"Blue whitings (Micromesistius poutassou, Micromesistius australis)",030269,"Other fish, excluding livers and roes :-- Other"
030259,Other,030269,"Other fish, excluding livers and roes :-- Other"
030271,Tilapias (Oreochromis spp.),030269,"Other fish, excluding livers and roes :-- Other"
030272,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030269,"Other fish, excluding livers and roes :-- Other"
030273,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",030269,"Other fish, excluding livers and roes :-- Other"
030274,Eels (Anguilla spp.),030266,"Other fish, excluding livers and roes :-- Eels (Anguilla spp.)"
030279,Other,030269,"Other fish, excluding livers and roes :-- Other"
030281,Dogfish and other sharks,030265,"Other fish, excluding livers and roes :-- Dogfish and other sharks"
030282,Rays and skates (Rajidae),030269,"Other fish, excluding livers and roes :-- Other"
030283,Toothfish (Dissostichus spp.),030269,"Other fish, excluding livers and roes :-- Other"
030284,Seabass (Dicentrarchus spp.),030269,"Other fish, excluding livers and roes :-- Other"
030285,Seabream (Sparidae),030269,"Other fish, excluding livers and roes :-- Other"
030289,Other,030269,"Other fish, excluding livers and roes :-- Other"
030290,Livers and roes,030270,Livers and roes
030311,Sockeye salmon (red salmon) (Oncorhynchus nerka),030310,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), excluding livers and roes"
030312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",030310,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), excluding livers and roes"
030313,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),030322,"Other salmonidae, excluding livers and roes :-- Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
030314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030321,"Other salmonidae, excluding livers and roes :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030319,Other,030329,"Other salmonidae, excluding livers and roes :-- Other"
030323,Tilapias (Oreochromis spp.),030379,Other
030324,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030379,Other
030325,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",030379,Other
030326,Eels (Anguilla spp.),030376,"Other fish, excluding livers and roes :-- Eels (Anguilla spp.)"
030329,Other,030379,Other
030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",030331,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
030332,Plaice (Pleuronectes platessa),030332,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Plaice (Pleuronectes platessa)"
030333,Sole (Solea spp.),030333,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Sole (Solea spp.)"
030334,Turbots (Psetta maxima),030339,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Other"
030339,Other,030339,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Other"
030341,Albacore or longfinned tunas (Thunnus alalunga),030341,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Albacore or longfinned tunas (Thunnus alalunga)"
030342,Yellowfin tunas (Thunnus albacares),030342,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Yellowfin tunas (Thunnus albacares)"
030343,Skipjack or strip-bellied bonito,030343,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Skipjack or strip-bellied bonito"
030344,Bigeye tunas (Thunnus obesus),030349,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other"
030345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",030349,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other"
030346,Southern bluefin tunas (Thunnus maccoyii),030349,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other"
030349,Other,030349,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other"
030351,"Herrings (Clupea harengus, Clupea pallasii)",030350,"Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes"
030353,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",030371,"Other fish, excluding livers and roes :-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
030354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",030374,"Other fish, excluding livers and roes :-- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
030355,Jack and horse mackerel (Trachurus spp.),030379,Other
030356,Cobia (Rachycentron canadum),030379,Other
030357,Swordfish (Xiphias gladius),030379,Other
030363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030360,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes"
030364,Haddock (Melanogrammus aeglefinus),030372,"Other fish, excluding livers and roes :-- Haddock (Melanogrammus aeglefinus)"
030365,Coalfish (Pollachius virens),030373,"Other fish, excluding livers and roes :-- Coalfish (Pollachius virens)"
030366,"Hake (Merluccius spp., Urophycis spp.)",030378,"Other fish, excluding livers and roes :-- Hake (Merluccius spp., Urophycis spp.)"
030367,Alaska Pollack (Theragra chalcogramma),030379,Other
030368,"Blue whitings (Micromesistius poutassou, Micromesistius australis)",030379,Other
030369,Other,030379,Other
030381,Dogfish and other sharks,030375,"Other fish, excluding livers and roes :- Other fish, excluding livers and roes :-- Dogfish and other sharks"
030382,Rays and skates (Rajidae),030379,Other
030383,Toothfish (Dissostichus spp.),030379,Other
030384,Seabass (Dicentrarchus spp.),030377,"Other fish, excluding livers and roes :-- Sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)"
030389,Other,030379,Other
030390,Livers and roes,030380,Livers and roes
030431,Tilapias (Oreochromis spp.),030410,Fresh or chilled
030432,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030410,Fresh or chilled
030433,Nile Perch (Lates niloticus),030410,Fresh or chilled
030439,Other,030410,Fresh or chilled
030441,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Huchohucho)",030410,Fresh or chilled
030442,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030410,Fresh or chilled
030443,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",030410,Fresh or chilled
030444,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",030410,Fresh or chilled
030445,Swordfish (Xiphias gladius),030410,Fresh or chilled
030446,Toothfish (Dissostichus spp.),030410,Fresh or chilled
030449,Other,030410,Fresh or chilled
030451,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp",030410,Fresh or chilled
030452,Salmonidae,030410,Fresh or chilled
030453,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",030410,Fresh or chilled
030454,Swordfish (Xiphias gladius),030410,Fresh or chilled
030455,Toothfish (Dissostichus spp.),030410,Fresh or chilled
030459,Other,030410,Fresh or chilled
030461,Tilapias (Oreochromis spp.),030420,Frozen fillets
030462,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030420,Frozen fillets
030463,Nile Perch (Lates niloticus),030420,Frozen fillets
030469,Other,030420,Frozen fillets
030471,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030420,Frozen fillets
030472,Haddock (Melanogrammus aeglefinus),030420,Frozen fillets
030473,Coalfish (Pollachius virens),030420,Frozen fillets
030474,"Hake (Merluccius spp., Urophycis spp.)",030420,Frozen fillets
030475,Alaska Pollack (Theragra chalcogramma),030420,Frozen fillets
030479,Other,030420,Frozen fillets
030481,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Huchohucho)",030420,Frozen fillets
030482,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030420,Frozen fillets
030483,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",030420,Frozen fillets
030484,Swordfish (Xiphias gladius),030420,Frozen fillets
030485,Toothfish (Dissostichus spp.),030420,Frozen fillets
030486,"Herrings (Clupea harengus, Clupea pallasii)",030420,Frozen fillets
030487,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)",030420,Frozen fillets
030489,Other,030420,Frozen fillets
030491,Swordfish (Xiphias gladius),030490,Other
030492,Toothfish (Dissostichus spp.),030490,Other
030493,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp",030490,Other
030494,Alaska Pollack (Theragra chalcogramma),030490,Other
030495,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",030490,Other
030499,Other,030490,Other
030510,"Flours, meals and pellets of fish, fit for human consumption",030510,"Flours, meals and pellets of fish, fit for human consumption"
030520,"Livers and roes of fish, dried, smoked, salted or in brine",030520,"Livers and roes, dried, smoked, salted or in brine"
030531,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp",030530,"Fish fillets, dried, salted or in brine, but not smoked"
030532,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",030530,"Fish fillets, dried, salted or in brine, but not smoked"
030539,Other,030530,"Fish fillets, dried, salted or in brine, but not smoked"
030541,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",030541,"Smoked fish, including fillets :-- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Altantic salmon (Salmo s"
030542,"Herrings (Clupea harengus, Clupea pallasii)",030542,"Smoked fish, including fillets :-- Herrings (Clupea harengus, Clupea pallasii)"
030543,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030549,"Smoked fish, including fillets :-- Other"
030544,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp",030549,"Smoked fish, including fillets :-- Other"
030549,Other,030549,"Smoked fish, including fillets :-- Other"
030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030551,"Dried fish, whether or not salted but not smoked :-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030559,Other,030559,"Dried fish, whether or not salted but not smoked :-- Other"
030561,"Herrings (Clupea harengus, Clupea pallasii)",030561,"Fish, salted but not dried or smoked and fish in brine :-- Herrings (Clupea harengus, Clupea pallasii)"
